"","TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","DateTime","UnixTime"
"139","072D524C 2021-08-04 18:46:00","072D524C","2021-08-04","18:46:00",4,411215.855453217,4261773.8961201,410941.941024599,411489.769881835,4261488.24113699,4262059.55110321,2021-08-04 12:46:00,1628102760
"140","072D524C 2021-08-04 18:47:00","072D524C","2021-08-04","18:47:00",5,411215.245896294,4261783.31836462,411072.835832282,411357.655960307,4261607.3835243,4261959.25320494,2021-08-04 12:47:00,1628102820
"141","072D524C 2021-08-04 18:48:00","072D524C","2021-08-04","18:48:00",6,411174.919577956,4261779.30002469,411037.253785174,411312.585370737,4261648.51855575,4261910.08149364,2021-08-04 12:48:00,1628102880
"142","072D524C 2021-08-04 18:49:00","072D524C","2021-08-04","18:49:00",5,411180.406656824,4261775.25782562,411010.31161786,411350.501695788,4261589.4755623,4261961.04008895,2021-08-04 12:49:00,1628102940
"143","072D524C 2021-08-04 18:50:00","072D524C","2021-08-04","18:50:00",5,411193.984960936,4261776.05112094,411056.265682899,411331.704238973,4261618.70057867,4261933.40166322,2021-08-04 12:50:00,1628103000
"144","072D524C 2021-08-04 18:51:00","072D524C","2021-08-04","18:51:00",5,411187.143966474,4261785.97093093,410997.721466552,411376.566466395,4261572.08777728,4261999.85408459,2021-08-04 12:51:00,1628103060
"145","072D524C 2021-08-04 18:52:00","072D524C","2021-08-04","18:52:00",5,411132.639008829,4261799.97118872,410988.566853889,411276.71116377,4261632.36110113,4261967.58127631,2021-08-04 12:52:00,1628103120
"146","072D524C 2021-08-04 18:53:00","072D524C","2021-08-04","18:53:00",5,411027.838141323,4261808.81383123,410955.745517474,411099.930765171,4261743.30930234,4261874.31836011,2021-08-04 12:53:00,1628103180
"147","072D524C 2021-08-04 18:54:00","072D524C","2021-08-04","18:54:00",5,411015.395758807,4261769.20458012,410943.665963974,411087.125553641,4261676.85110565,4261861.55805459,2021-08-04 12:54:00,1628103240
"148","072D524C 2021-08-04 18:55:00","072D524C","2021-08-04","18:55:00",5,410954.073541594,4261756.24671882,410850.969857073,411057.177226116,4261672.37274029,4261840.12069736,2021-08-04 12:55:00,1628103300
"149","072D524C 2021-08-04 18:56:00","072D524C","2021-08-04","18:56:00",3,410991.122002334,4261739.65329977,410710.795431105,411271.448573564,4261271.96696001,4262207.33963952,2021-08-04 12:56:00,1628103360
"150","072D524C 2021-08-04 18:57:00","072D524C","2021-08-04","18:57:00",5,410915.965178506,4261750.36235386,410677.232431743,411154.697925269,4261511.2533381,4261989.47136962,2021-08-04 12:57:00,1628103420
"151","072D524C 2021-08-04 18:58:00","072D524C","2021-08-04","18:58:00",4,410911.76427763,4261600.87499506,410376.555884339,411446.972670921,4261244.12016366,4261957.62982645,2021-08-04 12:58:00,1628103480
"152","072D524C 2021-08-04 18:59:00","072D524C","2021-08-04","18:59:00",5,410795.741696453,4261764.06318425,410522.643754513,411068.839638393,4261412.2026002,4262115.92376831,2021-08-04 12:59:00,1628103540
"153","072D524C 2021-08-04 19:00:00","072D524C","2021-08-04","19:00:00",5,410919.47148152,4261751.12775807,410776.770949048,411062.172013991,4261609.04224534,4261893.2132708,2021-08-04 13:00:00,1628103600
"154","072D524C 2021-08-04 19:01:00","072D524C","2021-08-04","19:01:00",5,411004.27688945,4261824.28537647,410842.270497805,411166.283281096,4261661.84654746,4261986.72420549,2021-08-04 13:01:00,1628103660
"155","072D524C 2021-08-04 19:02:00","072D524C","2021-08-04","19:02:00",3,411447.429669219,4261360.64058843,411334.862376859,411559.996961578,4261250.47065818,4261470.81051868,2021-08-04 13:02:00,1628103720
"156","072D524C 2021-08-04 19:19:00","072D524C","2021-08-04","19:19:00",3,411163.807635851,4261569.41675741,411112.894943512,411214.720328189,4261517.44321955,4261621.39029527,2021-08-04 13:19:00,1628104740
"157","072D524C 2021-08-04 19:20:00","072D524C","2021-08-04","19:20:00",5,410931.359208366,4261295.43350952,410834.763200891,411027.955215841,4261239.87220874,4261350.9948103,2021-08-04 13:20:00,1628104800
"158","072D524C 2021-08-04 19:21:00","072D524C","2021-08-04","19:21:00",4,410929.175656919,4261310.00962697,410677.841352753,411180.509961085,4261076.25870341,4261543.76055053,2021-08-04 13:21:00,1628104860
"159","072D524C 2021-08-04 19:22:00","072D524C","2021-08-04","19:22:00",3,410933.916014961,4261343.12592184,410152.433319316,411715.398710607,4260844.82798414,4261841.42385954,2021-08-04 13:22:00,1628104920
"160","072D524C 2021-08-04 19:23:00","072D524C","2021-08-04","19:23:00",3,410949.506258802,4261274.45737042,410250.672119598,411648.340398006,4260726.37797191,4261822.53676892,2021-08-04 13:23:00,1628104980
"161","072D524C 2021-08-04 19:24:00","072D524C","2021-08-04","19:24:00",3,410955.986382923,4261280.3450371,410282.968424358,411629.004341489,4260799.28828644,4261761.40178776,2021-08-04 13:24:00,1628105040
"162","072D524C 2021-08-04 19:25:00","072D524C","2021-08-04","19:25:00",5,410920.328938789,4261273.28744782,410675.519974872,411165.137902705,4261113.85096206,4261432.72393359,2021-08-04 13:25:00,1628105100
"163","072D524C 2021-08-04 19:26:00","072D524C","2021-08-04","19:26:00",3,410962.202286522,4261284.35617088,409697.147253801,412227.257319242,4260444.34914033,4262124.36320143,2021-08-04 13:26:00,1628105160
"164","072D524C 2021-08-04 19:27:00","072D524C","2021-08-04","19:27:00",4,410933.024574425,4261272.02647895,410741.746615429,411124.30253342,4261071.70411749,4261472.34884041,2021-08-04 13:27:00,1628105220
"165","072D524C 2021-08-04 19:28:00","072D524C","2021-08-04","19:28:00",4,411126.656002132,4261335.79175523,410808.984262764,411444.3277415,4260925.95457356,4261745.62893691,2021-08-04 13:28:00,1628105280
"166","072D524C 2021-08-04 19:29:00","072D524C","2021-08-04","19:29:00",5,411162.034924449,4261255.55431778,410969.60809679,411354.461752107,4261061.37063171,4261449.73800384,2021-08-04 13:29:00,1628105340
"167","072D524C 2021-08-04 19:30:00","072D524C","2021-08-04","19:30:00",4,411065.994186623,4261403.35883997,410849.645806048,411282.342567199,4261120.11788354,4261686.59979639,2021-08-04 13:30:00,1628105400
"168","072D524C 2021-08-04 19:31:00","072D524C","2021-08-04","19:31:00",5,411133.691991577,4261285.44181306,410999.308337693,411268.075645461,4261151.39390127,4261419.48972485,2021-08-04 13:31:00,1628105460
"169","072D524C 2021-08-04 19:32:00","072D524C","2021-08-04","19:32:00",4,411177.586961854,4261304.90517345,411029.885832572,411325.288091135,4261153.18198694,4261456.62835995,2021-08-04 13:32:00,1628105520
"170","072D524C 2021-08-04 19:33:00","072D524C","2021-08-04","19:33:00",5,411151.769485172,4261262.09279255,410967.148249378,411336.390720965,4261071.89058599,4261452.29499911,2021-08-04 13:33:00,1628105580
"171","072D524C 2021-08-04 19:34:00","072D524C","2021-08-04","19:34:00",5,411154.698023589,4261225.32657203,410878.431063082,411430.964984096,4260932.32678058,4261518.32636348,2021-08-04 13:34:00,1628105640
"172","072D524C 2021-08-04 19:35:00","072D524C","2021-08-04","19:35:00",4,411158.363742904,4261311.58699921,410819.908212912,411496.819272896,4260956.17958529,4261666.99441313,2021-08-04 13:35:00,1628105700
"173","072D524C 2021-08-04 19:36:00","072D524C","2021-08-04","19:36:00",6,411130.341921978,4261354.6055737,411047.61805768,411213.065786276,4261269.4478275,4261439.7633199,2021-08-04 13:36:00,1628105760
"174","072D524C 2021-08-04 19:37:00","072D524C","2021-08-04","19:37:00",3,410991.837195547,4261318.93740037,410435.513259163,411548.161131931,4260856.61198416,4261781.26281659,2021-08-04 13:37:00,1628105820
"175","072D524C 2021-08-04 19:38:00","072D524C","2021-08-04","19:38:00",3,411110.77711655,4261591.35499984,410541.821350645,411679.732882456,4260812.10877438,4262370.6012253,2021-08-04 13:38:00,1628105880
"176","072D524C 2021-08-04 19:40:00","072D524C","2021-08-04","19:40:00",3,410980.94969163,4261195.97316174,408775.282126715,413186.617256544,4259664.16496748,4262727.78135599,2021-08-04 13:40:00,1628106000
"177","072D524C 2021-08-04 19:41:00","072D524C","2021-08-04","19:41:00",3,411068.699797488,4261433.70025379,410336.172164164,411801.227430811,4260695.81029138,4262171.59021619,2021-08-04 13:41:00,1628106060
"178","072D524C 2021-08-04 19:42:00","072D524C","2021-08-04","19:42:00",3,411243.016532376,4261640.23999316,409997.561378882,412488.471685869,4260769.45394147,4262511.02604484,2021-08-04 13:42:00,1628106120
"179","072D524C 2021-08-04 19:43:00","072D524C","2021-08-04","19:43:00",4,411243.301244214,4261595.96711192,411061.303618392,411425.298870037,4261393.8906469,4261798.04357695,2021-08-04 13:43:00,1628106180
"180","072D524C 2021-08-04 19:44:00","072D524C","2021-08-04","19:44:00",4,411319.273244285,4261547.9347246,411212.501079144,411426.045409425,4261413.9436564,4261681.92579281,2021-08-04 13:44:00,1628106240
"181","072D524C 2021-08-04 19:45:00","072D524C","2021-08-04","19:45:00",4,411221.724185888,4261671.70982412,411120.601815553,411322.846556223,4261570.69858366,4261772.72106458,2021-08-04 13:45:00,1628106300
"182","072D524C 2021-08-04 19:46:00","072D524C","2021-08-04","19:46:00",5,411184.972733496,4261691.11155997,411031.586517266,411338.358949727,4261570.38221806,4261811.84090189,2021-08-04 13:46:00,1628106360
"183","072D524C 2021-08-04 19:47:00","072D524C","2021-08-04","19:47:00",3,411295.684136059,4261829.38182997,410918.491214844,411672.877057274,4261563.0728359,4262095.69082403,2021-08-04 13:47:00,1628106420
"184","072D524C 2021-08-04 19:49:00","072D524C","2021-08-04","19:49:00",3,411227.401547503,4261743.30756089,410829.805175135,411624.99791987,4261244.90927924,4262241.70584255,2021-08-04 13:49:00,1628106540
"185","072D524C 2021-08-04 19:50:00","072D524C","2021-08-04","19:50:00",4,411140.473475961,4261813.07031339,411063.485838912,411217.461113009,4261726.87515722,4261899.26546956,2021-08-04 13:50:00,1628106600
"186","072D524C 2021-08-04 19:51:00","072D524C","2021-08-04","19:51:00",4,411176.464838761,4261820.89588564,411138.697357832,411214.23231969,4261774.7257773,4261867.06599398,2021-08-04 13:51:00,1628106660
"187","072D524C 2021-08-04 19:52:00","072D524C","2021-08-04","19:52:00",4,411182.352169885,4261811.48149296,411121.907641255,411242.796698515,4261736.04711427,4261886.91587165,2021-08-04 13:52:00,1628106720
"188","072D524C 2021-08-04 19:53:00","072D524C","2021-08-04","19:53:00",5,411156.358762778,4261769.99699651,411038.625459182,411274.092066374,4261641.98295273,4261898.01104029,2021-08-04 13:53:00,1628106780
"189","072D524C 2021-08-04 19:54:00","072D524C","2021-08-04","19:54:00",5,411178.333346606,4261905.11246523,411029.883901324,411326.782791889,4261750.85442724,4262059.37050322,2021-08-04 13:54:00,1628106840
"190","072D524C 2021-08-04 19:55:00","072D524C","2021-08-04","19:55:00",5,411169.531614547,4261853.68086379,411027.890878264,411311.172350831,4261722.64555157,4261984.71617602,2021-08-04 13:55:00,1628106900
"191","072D524C 2021-08-04 19:56:00","072D524C","2021-08-04","19:56:00",5,411173.33411184,4261843.78027488,411043.425112784,411303.243110896,4261728.00041845,4261959.5601313,2021-08-04 13:56:00,1628106960
