"","TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","DateTime","UnixTime"
"30","072D524C 2021-08-04 17:51:00","072D524C","2021-08-04","17:51:00",4,411232.690413768,4262223.7918763,411124.43138888,411340.949438655,4262091.15126263,4262356.43248996,2021-08-04 11:51:00,1628099460
"31","072D524C 2021-08-04 17:54:00","072D524C","2021-08-04","17:54:00",5,411198.37086072,4262340.06724949,410894.966712284,411501.775009156,4262059.15907316,4262620.97542582,2021-08-04 11:54:00,1628099640
"32","072D524C 2021-08-04 17:57:00","072D524C","2021-08-04","17:57:00",3,411360.465420263,4262209.27611114,410476.388130995,412244.542709532,4261297.00454143,4263121.54768084,2021-08-04 11:57:00,1628099820
"33","072D524C 2021-08-04 18:00:00","072D524C","2021-08-04","18:00:00",5,411435.263970954,4262023.00410013,411349.499680412,411521.028261497,4261942.680717,4262103.32748326,2021-08-04 12:00:00,1628100000
"34","072D524C 2021-08-04 18:03:00","072D524C","2021-08-04","18:03:00",5,411381.193533383,4261950.86234038,411258.876410155,411503.51065661,4261860.94891004,4262040.77577072,2021-08-04 12:03:00,1628100180
"35","072D524C 2021-08-04 18:06:00","072D524C","2021-08-04","18:06:00",3,411502.100457556,4261994.76243819,410324.14664515,412680.054269962,4261252.53778653,4262736.98708985,2021-08-04 12:06:00,1628100360
"36","072D524C 2021-08-04 18:09:00","072D524C","2021-08-04","18:09:00",6,411492.414102281,4261903.63327691,411328.990037951,411655.838166611,4261767.16871443,4262040.09783939,2021-08-04 12:09:00,1628100540
"37","072D524C 2021-08-04 18:12:00","072D524C","2021-08-04","18:12:00",6,411403.637078712,4261777.04782198,411252.600993752,411554.673163673,4261585.57846883,4261968.51717513,2021-08-04 12:12:00,1628100720
"38","072D524C 2021-08-04 18:15:00","072D524C","2021-08-04","18:15:00",6,411384.936097585,4261709.68888207,411246.968962285,411522.903232885,4261579.12083123,4261840.2569329,2021-08-04 12:15:00,1628100900
"39","072D524C 2021-08-04 18:18:00","072D524C","2021-08-04","18:18:00",5,411210.517383903,4261810.85048827,411071.030513428,411350.004254378,4261641.9762185,4261979.72475803,2021-08-04 12:18:00,1628101080
"40","072D524C 2021-08-04 18:21:00","072D524C","2021-08-04","18:21:00",5,411178.365166723,4261801.25948752,411093.009229327,411263.721104119,4261703.57561513,4261898.94335991,2021-08-04 12:21:00,1628101260
"41","072D524C 2021-08-04 18:24:00","072D524C","2021-08-04","18:24:00",5,411149.311827012,4261680.14122888,410837.22427183,411461.399382194,4261389.68812923,4261970.59432853,2021-08-04 12:24:00,1628101440
"42","072D524C 2021-08-04 18:27:00","072D524C","2021-08-04","18:27:00",5,411114.548993932,4261847.62499575,410948.060095729,411281.037892135,4261707.98654835,4261987.26344314,2021-08-04 12:27:00,1628101620
"43","072D524C 2021-08-04 18:30:00","072D524C","2021-08-04","18:30:00",5,411126.116400841,4261748.76633468,410939.211841996,411313.020959686,4261501.3085959,4261996.22407346,2021-08-04 12:30:00,1628101800
"44","072D524C 2021-08-04 18:33:00","072D524C","2021-08-04","18:33:00",5,411136.24406972,4261762.66317533,410981.075274935,411291.412864506,4261577.10602079,4261948.22032988,2021-08-04 12:33:00,1628101980
"45","072D524C 2021-08-04 18:36:00","072D524C","2021-08-04","18:36:00",6,411132.737615767,4261835.09349734,411045.736531117,411219.738700417,4261748.49452844,4261921.69246624,2021-08-04 12:36:00,1628102160
"46","072D524C 2021-08-04 18:39:00","072D524C","2021-08-04","18:39:00",5,411155.581633648,4261791.27506965,411015.148387421,411296.014879875,4261633.97958312,4261948.57055618,2021-08-04 12:39:00,1628102340
"47","072D524C 2021-08-04 18:42:00","072D524C","2021-08-04","18:42:00",6,411178.117527358,4261819.40154662,411060.330086667,411295.90496805,4261697.52643193,4261941.2766613,2021-08-04 12:42:00,1628102520
"48","072D524C 2021-08-04 18:45:00","072D524C","2021-08-04","18:45:00",5,411193.426183357,4261778.74619531,411030.363521909,411356.488844804,4261592.5576916,4261964.93469902,2021-08-04 12:45:00,1628102700
"49","072D524C 2021-08-04 18:48:00","072D524C","2021-08-04","18:48:00",6,411179.568749726,4261776.59592394,411050.785626957,411308.351872495,4261654.37325164,4261898.81859623,2021-08-04 12:48:00,1628102880
"50","072D524C 2021-08-04 18:51:00","072D524C","2021-08-04","18:51:00",4,411029.204398088,4261796.60290719,410810.407083536,411248.00171264,4261572.74539044,4262020.46042394,2021-08-04 12:51:00,1628103060
"51","072D524C 2021-08-04 18:54:00","072D524C","2021-08-04","18:54:00",5,410989.980897395,4261751.14708031,410911.125669913,411068.836124876,4261676.11266915,4261826.18149146,2021-08-04 12:54:00,1628103240
"52","072D524C 2021-08-04 18:57:00","072D524C","2021-08-04","18:57:00",5,410878.326144956,4261751.89604548,410716.639614024,411040.012675887,4261585.59921705,4261918.19287391,2021-08-04 12:57:00,1628103420
"53","072D524C 2021-08-04 19:00:00","072D524C","2021-08-04","19:00:00",7,411107.82213046,4261593.46214254,410852.847134766,411362.797126155,4261328.55611311,4261858.36817196,2021-08-04 13:00:00,1628103600
"54","072D524C 2021-08-04 19:18:00","072D524C","2021-08-04","19:18:00",3,411093.565493547,4261511.82595012,410129.662032649,412057.468954445,4260906.59743432,4262117.05446591,2021-08-04 13:18:00,1628104680
"55","072D524C 2021-08-04 19:21:00","072D524C","2021-08-04","19:21:00",4,410918.166485216,4261256.18247277,410400.07672125,411436.256249182,4260819.48101996,4261692.88392559,2021-08-04 13:21:00,1628104860
"56","072D524C 2021-08-04 19:24:00","072D524C","2021-08-04","19:24:00",5,410920.125199429,4261248.62009253,410622.033405362,411218.216993497,4261026.67681121,4261470.56337384,2021-08-04 13:24:00,1628105040
"57","072D524C 2021-08-04 19:27:00","072D524C","2021-08-04","19:27:00",5,411053.972187323,4261239.45003344,410856.854652056,411251.089722591,4261025.66477705,4261453.23528984,2021-08-04 13:27:00,1628105220
"58","072D524C 2021-08-04 19:30:00","072D524C","2021-08-04","19:30:00",4,411127.376259759,4261338.94999929,411013.493545577,411241.258973942,4261190.89496747,4261487.00503111,2021-08-04 13:30:00,1628105400
"59","072D524C 2021-08-04 19:33:00","072D524C","2021-08-04","19:33:00",4,411147.106547622,4261299.3881656,410870.091523389,411424.121571856,4260984.71798575,4261614.05834544,2021-08-04 13:33:00,1628105580
"60","072D524C 2021-08-04 19:36:00","072D524C","2021-08-04","19:36:00",6,411138.270050356,4261339.79373764,411058.435807609,411218.104293102,4261266.44431415,4261413.14316113,2021-08-04 13:36:00,1628105760
"61","072D524C 2021-08-04 19:39:00","072D524C","2021-08-04","19:39:00",3,411312.31879141,4261344.5341077,410291.867481857,412332.770100964,4260277.92185317,4262411.14636223,2021-08-04 13:39:00,1628105940
"62","072D524C 2021-08-04 19:42:00","072D524C","2021-08-04","19:42:00",5,411261.697341362,4261614.93719695,411154.610291112,411368.784391612,4261522.42412731,4261707.45026659,2021-08-04 13:42:00,1628106120
"63","072D524C 2021-08-04 19:45:00","072D524C","2021-08-04","19:45:00",4,411140.097327111,4261130.15070176,410786.299387712,411493.895266509,4260703.61408182,4261556.6873217,2021-08-04 13:45:00,1628106300
"64","072D524C 2021-08-04 19:48:00","072D524C","2021-08-04","19:48:00",6,411132.881891628,4261691.23247055,411071.119056155,411194.644727101,4261622.78760955,4261759.67733154,2021-08-04 13:48:00,1628106480
"65","072D524C 2021-08-04 19:51:00","072D524C","2021-08-04","19:51:00",5,411131.167133729,4261643.15463855,410861.34106902,411400.993198438,4261422.89780924,4261863.41146786,2021-08-04 13:51:00,1628106660
"66","072D524C 2021-08-04 19:54:00","072D524C","2021-08-04","19:54:00",5,411186.098763723,4261845.52902818,411052.619382874,411319.578144571,4261724.72060562,4261966.33745075,2021-08-04 13:54:00,1628106840
"67","072D524C 2021-08-04 19:57:00","072D524C","2021-08-04","19:57:00",6,411046.243725795,4261807.06957013,410939.333117141,411153.15433445,4261703.90498714,4261910.23415312,2021-08-04 13:57:00,1628107020
"68","072D524C 2021-08-04 20:00:00","072D524C","2021-08-04","20:00:00",6,410937.190691561,4261838.69240382,410860.988835334,411013.392547787,4261756.82504563,4261920.55976202,2021-08-04 14:00:00,1628107200
"69","072D524C 2021-08-04 20:06:00","072D524C","2021-08-04","20:06:00",5,410939.842667823,4261932.67871057,410819.210064279,411060.475271368,4261813.44819914,4262051.909222,2021-08-04 14:06:00,1628107560
"70","072D524C 2021-08-04 20:09:00","072D524C","2021-08-04","20:09:00",5,410837.928077336,4261847.44588705,410657.823499921,411018.032654751,4261741.23948431,4261953.65228979,2021-08-04 14:09:00,1628107740
"71","072D524C 2021-08-04 20:12:00","072D524C","2021-08-04","20:12:00",4,411174.892455379,4261822.04593083,411068.805658239,411280.979252518,4261715.36843664,4261928.72342501,2021-08-04 14:12:00,1628107920
"72","344C7834 2021-08-04 16:12:00","344C7834","2021-08-04","16:12:00",4,411778.5495009,4261495.50464746,411647.894008677,411909.204993122,4261255.95971728,4261735.04957765,2021-08-04 10:12:00,1628093520
"73","344C7834 2021-08-04 16:15:00","344C7834","2021-08-04","16:15:00",3,411804.38044615,4261492.00659702,411596.031497382,412012.729394918,4260888.50273742,4262095.51045662,2021-08-04 10:15:00,1628093700
"74","344C7834 2021-08-04 16:21:00","344C7834","2021-08-04","16:21:00",3,411795.022074051,4261461.85107632,411545.688270198,412044.355877904,4260882.68917721,4262041.01297544,2021-08-04 10:21:00,1628094060
"75","344C7834 2021-08-04 16:24:00","344C7834","2021-08-04","16:24:00",3,411799.953629677,4261512.81093702,411506.039910803,412093.867348552,4260615.16414219,4262410.45773185,2021-08-04 10:24:00,1628094240
"76","344C7834 2021-08-04 16:30:00","344C7834","2021-08-04","16:30:00",3,411628.396727403,4261651.24748583,411560.658338762,411696.135116044,4261605.37810904,4261697.11686261,2021-08-04 10:30:00,1628094600
"77","344C7834 2021-08-04 16:33:00","344C7834","2021-08-04","16:33:00",4,411603.476872292,4261514.88776113,411411.022733735,411795.93101085,4261328.51676535,4261701.25875692,2021-08-04 10:33:00,1628094780
"78","344C7834 2021-08-04 16:36:00","344C7834","2021-08-04","16:36:00",4,411573.017713193,4261543.4090285,411240.177686949,411905.857739436,4261212.47941259,4261874.3386444,2021-08-04 10:36:00,1628094960
"79","344C7834 2021-08-04 16:39:00","344C7834","2021-08-04","16:39:00",7,411473.447919147,4261613.5877104,411297.101180871,411649.794657424,4261462.7264285,4261764.44899231,2021-08-04 10:39:00,1628095140
"80","344C7834 2021-08-04 16:42:00","344C7834","2021-08-04","16:42:00",7,411485.916678053,4261620.62914317,411306.719424588,411665.113931518,4261465.20396881,4261776.05431753,2021-08-04 10:42:00,1628095320
"81","344C7834 2021-08-04 16:45:00","344C7834","2021-08-04","16:45:00",7,411512.245724875,4261638.01664078,411301.436275921,411723.055173829,4261451.98687891,4261824.04640265,2021-08-04 10:45:00,1628095500
"82","344C7834 2021-08-04 16:48:00","344C7834","2021-08-04","16:48:00",5,411243.481289433,4261735.73931435,411129.238133599,411357.724445268,4261572.00157107,4261899.47705763,2021-08-04 10:48:00,1628095680
"83","344C7834 2021-08-04 16:51:00","344C7834","2021-08-04","16:51:00",4,411226.064974303,4261792.53618249,411122.979892747,411329.150055859,4261665.28483471,4261919.78753026,2021-08-04 10:51:00,1628095860
"84","344C7834 2021-08-04 16:54:00","344C7834","2021-08-04","16:54:00",4,411218.193538105,4261790.32621463,411092.090102275,411344.296973935,4261635.51994187,4261945.13248738,2021-08-04 10:54:00,1628096040
"85","344C7834 2021-08-04 16:57:00","344C7834","2021-08-04","16:57:00",7,411199.152801932,4261775.00909659,411082.36345043,411315.942153434,4261666.15088942,4261883.86730377,2021-08-04 10:57:00,1628096220
"86","344C7834 2021-08-04 17:00:00","344C7834","2021-08-04","17:00:00",6,411235.67938483,4261792.07942648,411092.281668488,411379.077101172,4261672.07875552,4261912.08009744,2021-08-04 11:00:00,1628096400
"87","344C7834 2021-08-04 17:03:00","344C7834","2021-08-04","17:03:00",4,411277.951501003,4261710.57951254,410655.607796566,411900.29520544,4261196.66329921,4262224.49572586,2021-08-04 11:03:00,1628096580
"88","344C7834 2021-08-04 17:06:00","344C7834","2021-08-04","17:06:00",4,411299.632541069,4261798.96285798,410900.759071167,411698.506010971,4261454.19639515,4262143.72932081,2021-08-04 11:06:00,1628096760
"89","344C7834 2021-08-04 17:09:00","344C7834","2021-08-04","17:09:00",7,411221.752956351,4261875.46828164,411115.489279759,411328.016632943,4261756.12136485,4261994.81519843,2021-08-04 11:09:00,1628096940
"90","344C7834 2021-08-04 17:12:00","344C7834","2021-08-04","17:12:00",5,411160.276976692,4261988.2355412,410996.678622095,411323.87533129,4261848.24812492,4262128.22295748,2021-08-04 11:12:00,1628097120
"91","344C7834 2021-08-04 17:15:00","344C7834","2021-08-04","17:15:00",5,411156.061837417,4261990.49839657,411002.342875116,411309.780799719,4261859.3650436,4262121.63174954,2021-08-04 11:15:00,1628097300
"92","344C7834 2021-08-04 17:18:00","344C7834","2021-08-04","17:18:00",6,411154.609108285,4261984.3494435,411018.59828306,411290.61993351,4261864.25598662,4262104.44290038,2021-08-04 11:18:00,1628097480
"93","344C7834 2021-08-04 17:21:00","344C7834","2021-08-04","17:21:00",7,411199.633200279,4262055.46905471,411068.645724721,411330.620675837,4261906.00336337,4262204.93474606,2021-08-04 11:21:00,1628097660
"94","344C7834 2021-08-04 17:24:00","344C7834","2021-08-04","17:24:00",7,411153.401678528,4262064.53587518,411004.717474005,411302.08588305,4261902.41351856,4262226.65823179,2021-08-04 11:24:00,1628097840
"95","344C7834 2021-08-04 17:27:00","344C7834","2021-08-04","17:27:00",7,411158.447842033,4262062.47071811,411018.397102251,411298.498581814,4261909.49126317,4262215.45017305,2021-08-04 11:27:00,1628098020
"96","344C7834 2021-08-04 17:30:00","344C7834","2021-08-04","17:30:00",7,411149.623962404,4262069.57192408,411042.178905378,411257.06901943,4261955.39251199,4262183.75133617,2021-08-04 11:30:00,1628098200
"97","344C7834 2021-08-04 17:33:00","344C7834","2021-08-04","17:33:00",5,411197.936374531,4261822.26945557,410790.190553198,411605.682195865,4261424.52750347,4262220.01140767,2021-08-04 11:33:00,1628098380
"98","344C7834 2021-08-04 17:36:00","344C7834","2021-08-04","17:36:00",5,411187.592404317,4261834.91697505,410888.078740071,411487.106068562,4261527.39132922,4262142.44262088,2021-08-04 11:36:00,1628098560
"99","344C7834 2021-08-04 17:39:00","344C7834","2021-08-04","17:39:00",7,411213.514243828,4262024.34581666,411105.611943154,411321.416544501,4261914.37835927,4262134.31327404,2021-08-04 11:39:00,1628098740
"100","344C7834 2021-08-04 17:42:00","344C7834","2021-08-04","17:42:00",6,411109.983265123,4262058.06526944,411057.980995793,411161.985534453,4262006.94932305,4262109.18121583,2021-08-04 11:42:00,1628098920
"101","344C7834 2021-08-04 17:45:00","344C7834","2021-08-04","17:45:00",5,411102.306471516,4262167.33375125,410906.018537847,411298.594405185,4261954.92599084,4262379.74151166,2021-08-04 11:45:00,1628099100
"102","344C7834 2021-08-04 17:48:00","344C7834","2021-08-04","17:48:00",5,411089.476324562,4262187.86899033,410858.049745463,411320.902903661,4261943.11339459,4262432.62458606,2021-08-04 11:48:00,1628099280
"103","344C7834 2021-08-04 17:51:00","344C7834","2021-08-04","17:51:00",7,411198.085951301,4262116.09686576,411078.130556831,411318.041345771,4262010.95217257,4262221.24155895,2021-08-04 11:51:00,1628099460
"104","344C7834 2021-08-04 17:54:00","344C7834","2021-08-04","17:54:00",5,411067.642334258,4262202.0092136,410839.698699898,411295.585968618,4261967.09006807,4262436.92835914,2021-08-04 11:54:00,1628099640
"105","344C7834 2021-08-04 17:57:00","344C7834","2021-08-04","17:57:00",5,410982.396646903,4262206.76409375,410894.76004701,411070.033246796,4262084.87740237,4262328.65078512,2021-08-04 11:57:00,1628099820
"106","344C7834 2021-08-04 18:00:00","344C7834","2021-08-04","18:00:00",5,410945.534509172,4262272.5828606,410718.811834416,411172.257183928,4261935.92313515,4262609.24258606,2021-08-04 12:00:00,1628100000
"107","344C7834 2021-08-04 18:03:00","344C7834","2021-08-04","18:03:00",5,411018.927886331,4262215.40184315,410882.641774121,411155.21399854,4262029.29732095,4262401.50636534,2021-08-04 12:03:00,1628100180
"108","344C7834 2021-08-04 18:06:00","344C7834","2021-08-04","18:06:00",6,411028.67206543,4262008.15465951,410922.967074836,411134.377056024,4261919.67231487,4262096.63700416,2021-08-04 12:06:00,1628100360
"109","344C7834 2021-08-04 18:09:00","344C7834","2021-08-04","18:09:00",6,410994.224905162,4261800.32313303,410369.511662265,411618.93814806,4261404.50539603,4262196.14087002,2021-08-04 12:09:00,1628100540
"110","344C7834 2021-08-04 18:12:00","344C7834","2021-08-04","18:12:00",7,410908.215435503,4261922.37983209,410751.031033998,411065.399837008,4261757.0386038,4262087.72106037,2021-08-04 12:12:00,1628100720
