"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"072D524C 2021-08-04 19:36:00","072D524C","2021-08-04","19:36:00",6,411138.270050356,4261339.79373764,411058.435807609,411218.104293102,4261266.44431415,4261413.14316113
"072D524C 2021-08-04 19:39:00","072D524C","2021-08-04","19:39:00",3,411312.31879141,4261344.5341077,410291.867481857,412332.770100964,4260277.92185317,4262411.14636223
"072D524C 2021-08-04 19:42:00","072D524C","2021-08-04","19:42:00",5,411261.697341362,4261614.93719695,411154.610291112,411368.784391612,4261522.42412731,4261707.45026659
"072D524C 2021-08-04 19:45:00","072D524C","2021-08-04","19:45:00",4,411140.097327111,4261130.15070176,410786.299387712,411493.895266509,4260703.61408182,4261556.6873217
"072D524C 2021-08-04 19:48:00","072D524C","2021-08-04","19:48:00",6,411132.881891628,4261691.23247055,411071.119056155,411194.644727101,4261622.78760955,4261759.67733154
"072D524C 2021-08-04 19:51:00","072D524C","2021-08-04","19:51:00",5,411131.167133729,4261643.15463855,410861.34106902,411400.993198438,4261422.89780924,4261863.41146786
"072D524C 2021-08-04 19:54:00","072D524C","2021-08-04","19:54:00",5,411186.098763723,4261845.52902818,411052.619382874,411319.578144571,4261724.72060562,4261966.33745075
"072D524C 2021-08-04 19:57:00","072D524C","2021-08-04","19:57:00",6,411046.243725795,4261807.06957013,410939.333117141,411153.15433445,4261703.90498714,4261910.23415312
"072D524C 2021-08-04 20:00:00","072D524C","2021-08-04","20:00:00",6,410937.190691561,4261838.69240382,410860.988835334,411013.392547787,4261756.82504563,4261920.55976202
"072D524C 2021-08-04 20:06:00","072D524C","2021-08-04","20:06:00",5,410939.842667823,4261932.67871057,410819.210064279,411060.475271368,4261813.44819914,4262051.909222
"072D524C 2021-08-04 20:09:00","072D524C","2021-08-04","20:09:00",5,410837.928077336,4261847.44588705,410657.823499921,411018.032654751,4261741.23948431,4261953.65228979
"072D524C 2021-08-04 20:12:00","072D524C","2021-08-04","20:12:00",4,411174.892455379,4261822.04593083,411068.805658239,411280.979252518,4261715.36843664,4261928.72342501
"072D524C 2021-08-04 20:15:00","072D524C","2021-08-04","20:15:00",3,411168.637019079,4261820.03212131,410444.629984776,411892.644053382,4261251.12298759,4262388.94125503
"072D524C 2021-08-04 20:18:00","072D524C","2021-08-04","20:18:00",3,411169.530067462,4261820.60682683,410432.62523539,411906.434899534,4261238.75118488,4262402.46246877
"072D524C 2021-08-04 20:21:00","072D524C","2021-08-04","20:21:00",3,411167.705878672,4261818.61091659,410438.389569973,411897.022187371,4261252.17626408,4262385.0455691
"072D524C 2021-08-04 20:24:00","072D524C","2021-08-04","20:24:00",7,411075.980075164,4261863.43806517,410954.1334062,411197.826744128,4261758.03609232,4261968.84003801
"072D524C 2021-08-04 20:27:00","072D524C","2021-08-04","20:27:00",7,411083.918446385,4261860.96935644,410957.388192575,411210.448700195,4261750.21634915,4261971.72236373
"072D524C 2021-08-04 20:30:00","072D524C","2021-08-04","20:30:00",7,411084.265192085,4261856.67167985,410959.137953799,411209.39243037,4261747.41447191,4261965.92888779
"072D524C 2021-08-04 20:33:00","072D524C","2021-08-04","20:33:00",7,411087.546513663,4261863.68295865,410957.633635733,411217.459391592,4261748.24119845,4261979.12471886
"072D524C 2021-08-04 20:36:00","072D524C","2021-08-04","20:36:00",7,411094.261358076,4261864.74939356,410963.456708818,411225.066007334,4261744.77395971,4261984.7248274
"072D524C 2021-08-04 20:39:00","072D524C","2021-08-04","20:39:00",7,411091.832970159,4261864.37831227,410959.232053293,411224.433887025,4261744.23172562,4261984.52489893
"072D524C 2021-08-04 20:42:00","072D524C","2021-08-04","20:42:00",7,411093.7751806,4261863.35064299,410961.221813097,411226.328548104,4261742.50865445,4261984.19263152
"072D524C 2021-08-04 20:45:00","072D524C","2021-08-04","20:45:00",7,411184.703811994,4261791.12615559,411054.653757333,411314.753866655,4261674.1802305,4261908.07208068
"072D524C 2021-08-04 20:48:00","072D524C","2021-08-04","20:48:00",6,411426.902654754,4261712.06848407,411277.74134707,411576.063962438,4261558.78626263,4261865.35070551
"072D524C 2021-08-04 20:51:00","072D524C","2021-08-04","20:51:00",6,411440.009881152,4261717.01178077,411284.947087465,411595.072674839,4261551.78038996,4261882.24317159
"072D524C 2021-08-04 20:54:00","072D524C","2021-08-04","20:54:00",6,411414.646192339,4261727.58517374,411246.406157013,411582.886227666,4261547.54606621,4261907.62428127
